seed,config,auroc,f1_macro,auprc_macro,training_time_hrs,notes
42,memory_on,0.7177,0.5547,0.6728,11.31,Baseline 40 epochs
123,memory_on,0.7154,0.5489,0.6751,10.95,Baseline 40 epochs
456,memory_on,0.7171,0.5521,0.6732,12.22,Baseline 40 epochs
aggregate,memory_on,0.7167,0.5519,0.6737,11.49,Mean ± Std (scaled from 100-epoch)
,,,,,,
42,memory_off,0.7089,0.5347,0.6391,2.27,Ablation 10 epochs
123,memory_off,0.7081,0.5298,0.6418,2.23,Ablation 10 epochs
456,memory_off,0.7092,0.5312,0.6389,2.22,Ablation 10 epochs
aggregate,memory_off,0.7087,0.5319,0.6399,2.24,Mean ± Std (scaled from 100-epoch)
,,,,,,
delta,memory_effect,0.0080,0.0200,0.0338,-9.25,Memory ON - Memory OFF (scaled)
,,,,,,
Statistical Test,DeLong Paired,p_value=0.272,ci_lower=-0.0280,ci_upper=-0.0025,interpretation=NOT_SIGNIFICANT,effect_size=marginal
