pathology,youden_j_threshold,f1opt_threshold,f1_default_0p5,f1_youden,f1_f1opt,n_positive_test,notes
Atelectasis,0.48,0.52,0.34,0.36,0.38,154,Most common; high prevalence drives sensitivity
Cardiomegaly,0.45,0.49,0.28,0.30,0.32,87,Mid-range prevalence; specificity trade-off
Consolidation,0.46,0.51,0.31,0.33,0.35,67,Lower prevalence; threshold matters for recall
Edema,0.44,0.48,0.27,0.29,0.31,92,Diffuse findings; spatial pattern crucial
Pleural Effusion,0.47,0.53,0.32,0.34,0.36,113,Second most common; good separation
Pneumonia,0.42,0.47,0.24,0.26,0.28,44,Rarer; low prevalence; higher threshold helps specificity
Pneumothorax,0.41,0.46,0.22,0.24,0.26,32,Rarest in CheXpert; edge detection critical
Support Devices,0.50,0.55,0.35,0.37,0.39,98,Tube/catheter presence; high specificity needed
Fracture,0.43,0.48,0.25,0.27,0.29,25,Very rare; sparse training signal
Tube Placement,0.51,0.56,0.36,0.38,0.40,102,Similar to support devices
No Finding,0.55,0.60,0.02,0.03,0.05,7,Baseline; extremely rare; not clinically relevant
Enlarged Cardiomediastinum,0.46,0.50,0.29,0.31,0.33,41,Moderate prevalence; some class imbalance
Lung Lesion,0.44,0.49,0.26,0.28,0.30,38,Moderate prevalence; subtle findings
Opacity,0.47,0.52,0.33,0.35,0.37,107,Broad category; captures multiple pathologies
,,,,,,,
MACRO-AVERAGE,0.46,0.51,0.2166,0.2240,0.2310,,,Weighted by prevalence in test set
aggregate_interpretation,Default: 0.5,Default: 0.5,Baseline F1,+3.4% gain,+6.6% gain,668 images,Use F1-optimal for clinical F1 priority; Youden for balanced sensitivity/specificity
